,Total Yards,Made,Quarter,Time,Down,Kicker id,Kicker Name,Kicking Team,Weather_Condition,Humidity,Temperature,Wind,Stadium,Grass Type,Stadium Type
81,27,1,4,11:27,4,00-0019310,R.Lindell,BUF,Partly Cloudy,32,75,,New Era Field,A-Turf Titan,Open
82,20,1,4,02:00,4,00-0019310,R.Lindell,BUF,Partly Cloudy,32,75,,New Era Field,A-Turf Titan,Open
83,37,1,1,05:43,4,00-0011970,J.Nedney,SF,Fair,73,68,,Candlestick Park,Kentucky Bluegrass,Open
84,36,1,2,10:08,4,00-0010373,O.Mare,SEA,Fair,73,68,,Candlestick Park,Kentucky Bluegrass,Open
85,42,1,2,03:09,4,00-0011970,J.Nedney,SF,Fair,73,68,,Candlestick Park,Kentucky Bluegrass,Open
86,39,1,4,06:58,4,00-0011970,J.Nedney,SF,Fair,73,68,,Candlestick Park,Kentucky Bluegrass,Open
87,38,0,4,11:42,4,00-0020737,J.Reed,PIT,Overcast,57,70,,Soldier Field,Grass,Open
88,43,0,4,03:23,4,00-0020737,J.Reed,PIT,Overcast,57,70,,Soldier Field,Grass,Open
89,44,1,4,00:20,4,00-0023252,R.Gould,CHI,Overcast,57,70,,Soldier Field,Grass,Open
90,22,1,1,12:25,4,00-0004091,P.Dawson,CLE,Partly Cloudy,12,82,,Broncos Stadium at Mile High,Grass,Open
91,47,1,1,01:53,4,00-0004091,P.Dawson,CLE,Partly Cloudy,12,82,,Broncos Stadium at Mile High,Grass,Open
92,23,1,2,11:45,4,00-0023853,M.Prater,DEN,Partly Cloudy,12,82,,Broncos Stadium at Mile High,Grass,Open
93,39,0,2,00:28,4,00-0023853,M.Prater,DEN,Partly Cloudy,12,82,,Broncos Stadium at Mile High,Grass,Open
94,38,1,3,10:43,4,00-0023853,M.Prater,DEN,Partly Cloudy,12,82,,Broncos Stadium at Mile High,Grass,Open
95,37,0,3,02:54,4,00-0023853,M.Prater,DEN,Partly Cloudy,12,82,,Broncos Stadium at Mile High,Grass,Open
96,29,1,1,00:46,4,00-0022737,N.Kaeding,SD,Fair,54,81,,Qualcomm Stadium,Grass,Open
97,22,1,2,03:02,4,00-0022737,N.Kaeding,SD,Fair,54,81,,Qualcomm Stadium,Grass,Open
98,23,1,2,00:10,3,00-0022737,N.Kaeding,SD,Fair,54,81,,Qualcomm Stadium,Grass,Open
99,25,1,4,07:14,4,00-0022737,N.Kaeding,SD,Fair,54,81,,Qualcomm Stadium,Grass,Open
100,33,1,4,02:57,4,00-0025944,S.Hauschka,BAL,Fair,54,81,,Qualcomm Stadium,Grass,Open
101,30,1,1,09:03,4,00-0019778,L.Tynes,NYG,Partly Cloudy,46,88,,AT&T Stadium,RealGrass Matrix,Open
102,28,1,2,13:36,4,00-0019778,L.Tynes,NYG,Partly Cloudy,46,88,,AT&T Stadium,RealGrass Matrix,Open
103,47,1,2,00:06,2,00-0025565,N.Folk,DAL,Partly Cloudy,46,88,,AT&T Stadium,RealGrass Matrix,Open
104,29,0,3,11:23,4,00-0019778,L.Tynes,NYG,Partly Cloudy,46,88,,AT&T Stadium,RealGrass Matrix,Open
105,36,1,4,07:42,4,00-0019778,L.Tynes,NYG,Partly Cloudy,46,88,,AT&T Stadium,RealGrass Matrix,Open
106,37,1,4,00:04,2,00-0019778,L.Tynes,NYG,Partly Cloudy,46,88,,AT&T Stadium,RealGrass Matrix,Open
107,45,1,2,13:26,4,00-0026003,D.Carpenter,MIA,Fair,63,85,,Hard Rock Stadium,Grass,Open
108,43,1,2,09:20,4,00-0016919,A.Vinatieri,IND,Fair,63,85,,Hard Rock Stadium,Grass,Open
109,44,1,2,00:47,4,00-0026003,D.Carpenter,MIA,Fair,63,85,,Hard Rock Stadium,Grass,Open
110,48,1,2,00:02,1,00-0016919,A.Vinatieri,IND,Fair,63,85,,Hard Rock Stadium,Grass,Open
111,49,0,3,08:43,4,00-0026003,D.Carpenter,MIA,Fair,63,85,,Hard Rock Stadium,Grass,Open
112,45,1,4,03:55,4,00-0026003,D.Carpenter,MIA,Fair,63,85,,Hard Rock Stadium,Grass,Open
113,36,1,1,01:21,4,00-0025944,S.Hauschka,BAL,Light Rain,73,71,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
114,33,1,2,05:42,4,00-0025944,S.Hauschka,BAL,Light Rain,73,71,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
115,29,1,4,15:00,4,00-0020972,B.Cundiff,CLE,Light Rain,73,71,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
116,19,1,1,06:59,4,00-0020737,J.Reed,PIT,Overcast,78,63,,Paul Brown Stadium,-,Open
117,24,1,2,12:48,4,00-0020737,J.Reed,PIT,Overcast,78,63,,Paul Brown Stadium,-,Open
118,34,1,2,00:03,3,00-0019536,S.Graham,CIN,Overcast,78,63,,Paul Brown Stadium,-,Open
119,52,0,3,11:53,4,00-0020737,J.Reed,PIT,Overcast,78,63,,Paul Brown Stadium,-,Open
120,52,0,4,14:56,4,00-0019536,S.Graham,CIN,Overcast,78,63,,Paul Brown Stadium,-,Open
121,39,1,2,08:34,4,00-0006800,J.Hanson,DET,Partly Cloudy,65,66,,Ford Field,Fieldturf,Dome
122,26,1,2,00:02,4,00-0006800,J.Hanson,DET,Partly Cloudy,65,66,,Ford Field,Fieldturf,Dome
123,52,1,1,07:39,4,00-0022874,J.Scobee,JAC,Partly Cloudy,70,84,,NRG Stadium,Grass,Open
124,27,1,3,04:05,4,00-0001980,K.Brown,HOU,Partly Cloudy,70,84,,NRG Stadium,Grass,Open
125,40,1,2,13:13,4,00-0010072,R.Longwell,MIN,Partly Cloudy,61,65,,Hubert H. Humphrey Metrodome,Fieldturf,Dome
126,52,1,2,03:27,4,00-0010072,R.Longwell,MIN,Partly Cloudy,61,65,,Hubert H. Humphrey Metrodome,Fieldturf,Dome
127,37,1,3,04:51,4,00-0011970,J.Nedney,SF,Partly Cloudy,61,65,,Hubert H. Humphrey Metrodome,Fieldturf,Dome
128,26,1,1,09:26,4,00-0004811,J.Elam,ATL,Light Rain,87,64,,Gillette Stadium,Fieldturf,Open
129,21,1,1,00:46,4,00-0024333,S.Gostkowski,NE,Light Rain,87,64,,Gillette Stadium,Fieldturf,Open
130,33,1,2,00:25,4,00-0024333,S.Gostkowski,NE,Light Rain,87,64,,Gillette Stadium,Fieldturf,Open
131,22,1,3,09:04,4,00-0024333,S.Gostkowski,NE,Light Rain,87,64,,Gillette Stadium,Fieldturf,Open
132,33,1,4,15:00,4,00-0024333,S.Gostkowski,NE,Light Rain,87,64,,Gillette Stadium,Fieldturf,Open
133,29,1,2,00:35,4,00-0000108,D.Akers,PHI,Fog/Mist,93,68,,Lincoln Financial Field,Desso GrassMaster,Open
134,38,1,3,09:19,4,00-0000108,D.Akers,PHI,Fog/Mist,93,68,,Lincoln Financial Field,Desso GrassMaster,Open
135,48,1,1,06:03,4,00-0025580,M.Crosby,GB,Fair,71,67,,Edward Jones Dome,Fieldturf,Dome
136,38,1,1,02:19,4,00-0025580,M.Crosby,GB,Fair,71,67,,Edward Jones Dome,Fieldturf,Dome
137,25,1,1,00:11,4,00-0025580,M.Crosby,GB,Fair,71,67,,Edward Jones Dome,Fieldturf,Dome
138,53,1,3,08:28,4,00-0021940,Josh.Brown,STL,Fair,71,67,,Edward Jones Dome,Fieldturf,Dome
139,21,0,2,00:25,4,00-0019778,L.Tynes,NYG,Partly Cloudy,65,89,,Raymond James Stadium,Grass,Open
140,26,1,3,05:53,4,00-0019778,L.Tynes,NYG,Partly Cloudy,65,89,,Raymond James Stadium,Grass,Open
141,27,1,2,04:20,4,00-0002655,J.Carney,NO,Mostly Cloudy,78,66,,New Era Field,A-Turf Titan,Open
142,35,1,4,03:25,4,00-0002655,J.Carney,NO,Mostly Cloudy,78,66,,New Era Field,A-Turf Titan,Open
143,53,0,1,13:26,4,00-0023252,R.Gould,CHI,Fair,54,61,,CenturyLink Field,Fieldturf,Open
144,46,1,1,00:45,4,00-0010373,O.Mare,SEA,Fair,54,61,,CenturyLink Field,Fieldturf,Open
145,37,1,2,12:06,4,00-0010373,O.Mare,SEA,Fair,54,61,,CenturyLink Field,Fieldturf,Open
146,43,0,2,00:14,4,00-0010373,O.Mare,SEA,Fair,54,61,,CenturyLink Field,Fieldturf,Open
147,34,0,3,08:13,4,00-0010373,O.Mare,SEA,Fair,54,61,,CenturyLink Field,Fieldturf,Open
148,37,1,3,05:36,4,00-0023252,R.Gould,CHI,Fair,54,61,,CenturyLink Field,Fieldturf,Open
149,39,1,4,14:52,4,00-0010373,O.Mare,SEA,Fair,54,61,,CenturyLink Field,Fieldturf,Open
150,46,1,4,05:17,4,00-0010373,O.Mare,SEA,Fair,54,61,,CenturyLink Field,Fieldturf,Open
151,38,1,2,00:13,4,00-0020962,R.Bironas,TEN,Light Rain Fog/Mist,90,66,,MetLife Stadium,Fieldturf,Open
152,30,1,4,11:41,4,00-0019770,J.Feely,NYJ,Light Rain Fog/Mist,90,66,,MetLife Stadium,Fieldturf,Open
153,48,1,1,00:02,4,00-0023853,M.Prater,DEN,Fair,50,77,,Oakland–Alameda County Coliseum,Bluegrass,Open
154,48,1,2,06:42,4,00-0019646,S.Janikowski,OAK,Fair,50,77,,Oakland–Alameda County Coliseum,Bluegrass,Open
155,21,1,2,01:12,4,00-0023853,M.Prater,DEN,Fair,50,77,,Oakland–Alameda County Coliseum,Bluegrass,Open
156,24,1,4,12:01,4,00-0023853,M.Prater,DEN,Fair,50,77,,Oakland–Alameda County Coliseum,Bluegrass,Open
157,25,1,2,09:24,4,00-0022737,N.Kaeding,SD,Fair,62,78,,Qualcomm Stadium,Grass,Open
158,24,1,2,03:29,4,00-0026003,D.Carpenter,MIA,Fair,62,78,,Qualcomm Stadium,Grass,Open
159,41,0,2,00:05,4,00-0022737,N.Kaeding,SD,Fair,62,78,,Qualcomm Stadium,Grass,Open
160,23,1,3,04:11,4,00-0026003,D.Carpenter,MIA,Fair,62,78,,Qualcomm Stadium,Grass,Open
161,23,1,4,12:33,4,00-0022737,N.Kaeding,SD,Fair,62,78,,Qualcomm Stadium,Grass,Open
162,26,1,4,06:54,4,00-0022737,N.Kaeding,SD,Fair,62,78,,Qualcomm Stadium,Grass,Open
163,38,1,1,02:51,4,00-0019676,N.Rackers,ARI,A Few Clouds,5,106,,State Farm Stadium,Grass,Dome
164,32,0,3,07:27,4,00-0016919,A.Vinatieri,IND,A Few Clouds,5,106,,State Farm Stadium,Grass,Dome
165,26,1,4,11:35,4,00-0016919,A.Vinatieri,IND,A Few Clouds,5,106,,State Farm Stadium,Grass,Dome
166,40,0,1,09:45,4,00-0025565,N.Folk,DAL,Clear,23,81,,AT&T Stadium,RealGrass Matrix,Open
167,24,1,3,10:51,4,00-0025565,N.Folk,DAL,Clear,23,81,,AT&T Stadium,RealGrass Matrix,Open
168,19,1,4,12:06,4,00-0025565,N.Folk,DAL,Clear,23,81,,AT&T Stadium,RealGrass Matrix,Open
169,52,1,3,10:23,4,00-0023252,R.Gould,CHI,Mostly Cloudy,72,52,,Soldier Field,Grass,Open
170,22,1,3,02:36,4,00-0023252,R.Gould,CHI,Mostly Cloudy,72,52,,Soldier Field,Grass,Open
171,35,1,4,08:20,4,00-0006800,J.Hanson,DET,Mostly Cloudy,72,52,,Soldier Field,Grass,Open
172,26,1,4,15:00,4,00-0020972,B.Cundiff,CLE,Overcast,62,56,,FirstEnergy Stadium,Kentucky Bluegrass,Open
173,31,1,4,06:38,4,00-0020972,B.Cundiff,CLE,Overcast,62,56,,FirstEnergy Stadium,Kentucky Bluegrass,Open
174,31,1,5,00:07,1,00-0019536,S.Graham,CIN,Overcast,62,56,,FirstEnergy Stadium,Kentucky Bluegrass,Open
175,26,1,1,08:08,4,00-0001980,K.Brown,HOU,Light Rain,90,78,,NRG Stadium,Grass,Open
176,46,1,1,02:38,4,00-0019646,S.Janikowski,OAK,Light Rain,90,78,,NRG Stadium,Grass,Open
177,34,1,2,15:00,4,00-0001980,K.Brown,HOU,Light Rain,90,78,,NRG Stadium,Grass,Open
178,33,1,2,02:08,4,00-0019646,S.Janikowski,OAK,Light Rain,90,78,,NRG Stadium,Grass,Open
179,33,0,4,08:11,4,00-0001980,K.Brown,HOU,Light Rain,90,78,,NRG Stadium,Grass,Open
180,38,1,2,01:26,4,00-0010373,O.Mare,SEA,A Few Clouds,60,57,,Lucas Oil Stadium,Fieldturf,Dome
181,37,1,4,08:56,4,00-0016919,A.Vinatieri,IND,A Few Clouds,60,57,,Lucas Oil Stadium,Fieldturf,Dome
182,19,1,4,06:59,4,00-0016919,A.Vinatieri,IND,A Few Clouds,60,57,,Lucas Oil Stadium,Fieldturf,Dome
183,22,1,1,10:07,4,00-0022874,J.Scobee,JAC,Overcast,65,82,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
184,29,1,2,09:16,4,00-0020962,R.Bironas,TEN,Overcast,65,82,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
185,50,1,2,03:26,4,00-0022874,J.Scobee,JAC,Overcast,65,82,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
186,55,0,2,00:01,2,00-0022874,J.Scobee,JAC,Overcast,65,82,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
187,33,1,3,10:09,4,00-0022874,J.Scobee,JAC,Overcast,65,82,,TIAA Bank Field,419 Tifway Bermuda Grass,Open
188,34,1,1,05:02,4,00-0026968,R.Succop,KC,Fair,53,56,,Arrowhead Stadium,Grass,Open
189,25,1,2,00:02,2,00-0019778,L.Tynes,NYG,Fair,53,56,,Arrowhead Stadium,Grass,Open
190,40,1,3,10:25,4,00-0019778,L.Tynes,NYG,Fair,53,56,,Arrowhead Stadium,Grass,Open
191,38,0,3,03:05,4,00-0019778,L.Tynes,NYG,Fair,53,56,,Arrowhead Stadium,Grass,Open
192,32,1,1,13:38,4,00-0024333,S.Gostkowski,NE,Fog/Mist,76,65,,Gillette Stadium,Fieldturf,Open
193,33,1,4,07:14,4,00-0024333,S.Gostkowski,NE,Fog/Mist,76,65,,Gillette Stadium,Fieldturf,Open
194,49,0,1,03:01,4,00-0023482,M.Nugent,TB,Clear,44,68,,FedExField,Grass,Open
195,48,0,2,08:01,4,00-0023482,M.Nugent,TB,Clear,44,68,,FedExField,Grass,Open
196,37,1,2,00:02,4,00-0023482,M.Nugent,TB,Clear,44,68,,FedExField,Grass,Open
197,42,1,3,10:41,4,00-0023001,S.Suisham,WAS,Clear,44,68,,FedExField,Grass,Open
198,22,1,4,04:30,4,00-0023482,M.Nugent,TB,Clear,44,68,,FedExField,Grass,Open
199,49,0,1,08:45,4,00-0019310,R.Lindell,BUF,Fair,57,89,,Hard Rock Stadium,Grass,Open
200,33,1,2,11:42,4,00-0026003,D.Carpenter,MIA,Fair,57,89,,Hard Rock Stadium,Grass,Open
201,35,1,2,08:52,4,00-0019310,R.Lindell,BUF,Fair,57,89,,Hard Rock Stadium,Grass,Open
202,34,1,1,08:10,4,00-0002655,J.Carney,NO,Light Rain,82,81,,Mercedes-Benz Superdome,Fieldturf,Dome
203,38,1,2,01:52,4,00-0019770,J.Feely,NYJ,Light Rain,82,81,,Mercedes-Benz Superdome,Fieldturf,Dome
204,49,1,1,06:02,4,00-0025565,N.Folk,DAL,Mostly Cloudy,51,54,,Broncos Stadium at Mile High,Grass,Open
205,28,1,4,06:02,4,00-0023853,M.Prater,DEN,Mostly Cloudy,51,54,,Broncos Stadium at Mile High,Grass,Open
206,51,0,1,05:22,4,00-0021940,Josh.Brown,STL,A Few Clouds,52,60,,Candlestick Park,Kentucky Bluegrass,Open
207,43,0,2,09:47,4,00-0011970,J.Nedney,SF,A Few Clouds,52,60,,Candlestick Park,Kentucky Bluegrass,Open
208,46,1,4,00:48,4,00-0020737,J.Reed,PIT,Overcast,62,54,,Heinz Field,Desso Grassmaster,Open
209,31,1,4,00:59,4,00-0025580,M.Crosby,GB,Light Rain Fog/Mist,86,49,,Hubert H. Humphrey Metrodome,Fieldturf,Dome
210,32,1,2,10:16,4,00-0019536,S.Graham,CIN,Fair,50,66,,M&T Bank Stadium,419 Tifway Bermuda Grass,Open
211,24,1,2,07:31,4,00-0020972,B.Cundiff,CLE,A Few Clouds,49,45,,New Era Field,A-Turf Titan,Open
212,36,1,3,10:15,4,00-0019310,R.Lindell,BUF,A Few Clouds,49,45,,New Era Field,A-Turf Titan,Open
213,18,1,4,00:26,4,00-0020972,B.Cundiff,CLE,A Few Clouds,49,45,,New Era Field,A-Turf Titan,Open
214,38,1,2,01:50,4,00-0023001,S.Suisham,WAS,Overcast,65,64,,Bank of America Stadium,Grass,Open
215,43,1,4,14:18,4,00-0009028,J.Kasay,CAR,Overcast,65,64,,Bank of America Stadium,Grass,Open
216,46,1,1,09:10,4,00-0006800,J.Hanson,DET,Fair,42,45,,Ford Field,Fieldturf,Dome
217,46,1,1,02:28,4,00-0006800,J.Hanson,DET,Fair,42,45,,Ford Field,Fieldturf,Dome
218,49,0,3,08:19,4,00-0006800,J.Hanson,DET,Fair,42,45,,Ford Field,Fieldturf,Dome
219,40,0,1,01:47,4,00-0025565,N.Folk,DAL,Overcast,60,39,,Arrowhead Stadium,Grass,Open
220,47,1,2,14:18,4,00-0026968,R.Succop,KC,Overcast,60,39,,Arrowhead Stadium,Grass,Open
221,22,1,2,01:52,4,00-0025565,N.Folk,DAL,Overcast,60,39,,Arrowhead Stadium,Grass,Open
